            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2423405.000000000, A.D. 1922-Dec-16 12:00:00.0000,  1.430905746359351E+07,  1.470369427270117E+08, -7.243831599622965E+03,
2423436.000000000, A.D. 1923-Jan-16 12:00:00.0000, -6.444403124530014E+07,  1.322358946742197E+08, -1.085755995592475E+04,
2423467.000000000, A.D. 1923-Feb-16 12:00:00.0000, -1.241556227996198E+08,  7.906788129930386E+07, -2.050071404257044E+04,
2423495.000000000, A.D. 1923-Mar-16 12:00:00.0000, -1.474524518172574E+08,  1.099258502242184E+07, -3.233747544008959E+04,
2423526.000000000, A.D. 1923-Apr-16 12:00:00.0000, -1.333246292222530E+08, -6.658801365597528E+07, -4.490629554800689E+04,
2423556.000000000, A.D. 1923-May-16 12:00:00.0000, -8.434549541325234E+07, -1.243648954198405E+08, -5.365771915043890E+04,
2423587.000000000, A.D. 1923-Jun-16 12:00:00.0000, -1.127805335578909E+07, -1.509015423665274E+08, -5.676023045120388E+04,
2423617.000000000, A.D. 1923-Jul-16 12:00:00.0000,  6.275801972223646E+07, -1.382948867416622E+08, -5.320643570213765E+04,
2423648.000000000, A.D. 1923-Aug-16 12:00:00.0000,  1.229081980709031E+08, -8.911494235253112E+07, -4.365615677855909E+04,
2423679.000000000, A.D. 1923-Sep-16 12:00:00.0000,  1.503244356178505E+08, -1.593150566489740E+07, -3.027909360199422E+04,
2423709.000000000, A.D. 1923-Oct-16 12:00:00.0000,  1.379138166489550E+08,  5.935535998111349E+07, -1.691514073688164E+04,
2423740.000000000, A.D. 1923-Nov-16 12:00:00.0000,  8.737121216858864E+07,  1.206521759987217E+08, -6.315225314594805E+03,
2423770.000000000, A.D. 1923-Dec-16 12:00:00.0000,  1.466731757421930E+07,  1.472898883371090E+08, -2.106475418083370E+03,
2423801.000000000, A.D. 1924-Jan-16 12:00:00.0000, -6.416023428485631E+07,  1.328266181549278E+08, -5.106539396069944E+03,
2423832.000000000, A.D. 1924-Feb-16 12:00:00.0000, -1.241183665166901E+08,  7.991233837311262E+07, -1.467632172567770E+04,
2423861.000000000, A.D. 1924-Mar-16 12:00:00.0000, -1.479414636506618E+08,  9.348773708604999E+06, -2.676224294423452E+04,
2423892.000000000, A.D. 1924-Apr-16 12:00:00.0000, -1.328338322091604E+08, -6.803502137430401E+07, -3.955207100395486E+04,
2423922.000000000, A.D. 1924-May-16 12:00:00.0000, -8.314660767759900E+07, -1.251833998533780E+08, -4.814134845642000E+04,
2423953.000000000, A.D. 1924-Jun-16 12:00:00.0000, -9.774788337065419E+06, -1.508051471654539E+08, -5.067665384710580E+04,
2423983.000000000, A.D. 1924-Jul-16 12:00:00.0000,  6.408251422473500E+07, -1.372848928122020E+08, -4.626586974265426E+04,
2424014.000000000, A.D. 1924-Aug-16 12:00:00.0000,  1.236030413179494E+08, -8.736843749490264E+07, -3.567637553818524E+04,
2424045.000000000, A.D. 1924-Sep-16 12:00:00.0000,  1.500908480841337E+08, -1.385286072011850E+07, -2.169096218409203E+04,
2424075.000000000, A.D. 1924-Oct-16 12:00:00.0000,  1.367155510822918E+08,  6.126786811540796E+07, -8.312154900629073E+03,
2424106.000000000, A.D. 1924-Nov-16 12:00:00.0000,  8.537820275256684E+07,  1.219059639431408E+08,  1.808736085243523E+03,
2424136.000000000, A.D. 1924-Dec-16 12:00:00.0000,  1.232351974352631E+07,  1.475895164867014E+08,  5.550073324151337E+03,
2424167.000000000, A.D. 1925-Jan-16 12:00:00.0000, -6.631591188112070E+07,  1.320916238675678E+08,  2.152431982658803E+03,
2424198.000000000, A.D. 1925-Feb-16 12:00:00.0000, -1.255857999646465E+08,  7.839595141579832E+07, -7.209477727577090E+03,
2424226.000000000, A.D. 1925-Mar-16 12:00:00.0000, -1.483173791047152E+08,  1.010780403709662E+07, -1.846583990867669E+04,
2424257.000000000, A.D. 1925-Apr-16 12:00:00.0000, -1.335600677221543E+08, -6.736724607868809E+07, -3.034112747839093E+04,
2424287.000000000, A.D. 1925-May-16 12:00:00.0000, -8.412529754055883E+07, -1.247578384938584E+08, -3.828898985690624E+04,
2424318.000000000, A.D. 1925-Jun-16 12:00:00.0000, -1.086102457392294E+07, -1.507243107577353E+08, -4.054040958404541E+04,
2424348.000000000, A.D. 1925-Jul-16 12:00:00.0000,  6.306092808926755E+07, -1.375444419524333E+08, -3.637156209358573E+04,
2424379.000000000, A.D. 1925-Aug-16 12:00:00.0000,  1.228053827776230E+08, -8.790426655765779E+07, -2.641060937611386E+04,
2424410.000000000, A.D. 1925-Sep-16 12:00:00.0000,  1.496182968020392E+08, -1.452142371211369E+07, -1.298868461724371E+04,
2424440.000000000, A.D. 1925-Oct-16 12:00:00.0000,  1.365774178490054E+08,  6.063857646266580E+07,  2.586153440512717E+02,
2424471.000000000, A.D. 1925-Nov-16 12:00:00.0000,  8.551329256606293E+07,  1.214853261488988E+08,  1.067962850109488E+04,
2424501.000000000, A.D. 1925-Dec-16 12:00:00.0000,  1.257843898130753E+07,  1.474775811727968E+08,  1.494995821143687E+04,
2424532.000000000, A.D. 1926-Jan-16 12:00:00.0000, -6.612845829955636E+07,  1.323121122414607E+08,  1.229174145602435E+04,
2424563.000000000, A.D. 1926-Feb-16 12:00:00.0000, -1.256347548370936E+08,  7.885748902301177E+07,  3.302015782114118E+03,
2424591.000000000, A.D. 1926-Mar-16 12:00:00.0000, -1.486665685789186E+08,  1.064887889926524E+07, -7.814892961976584E+03,
2424622.000000000, A.D. 1926-Apr-16 12:00:00.0000, -1.342361262273885E+08, -6.691862329295129E+07, -2.002687736636773E+04,
2424652.000000000, A.D. 1926-May-16 12:00:00.0000, -8.503497188375063E+07, -1.245442749000491E+08, -2.852143734946847E+04,
2424683.000000000, A.D. 1926-Jun-16 12:00:00.0000, -1.186756352798244E+07, -1.508382731277141E+08, -3.149484985909611E+04,
2424713.000000000, A.D. 1926-Jul-16 12:00:00.0000,  6.211883204636262E+07, -1.379851665126792E+08, -2.774003675746173E+04,
2424744.000000000, A.D. 1926-Aug-16 12:00:00.0000,  1.220775850572189E+08, -8.861367764288044E+07, -1.786472426624596E+04,
2424775.000000000, A.D. 1926-Sep-16 12:00:00.0000,  1.492079653866848E+08, -1.536812094851745E+07, -4.246589438972995E+03,
2424805.000000000, A.D. 1926-Oct-16 12:00:00.0000,  1.365032069977015E+08,  5.982198712843938E+07,  9.041257116906345E+03,
2424836.000000000, A.D. 1926-Nov-16 12:00:00.0000,  8.572643469023654E+07,  1.208646835665328E+08,  1.934277644110471E+04,
2424866.000000000, A.D. 1926-Dec-16 12:00:00.0000,  1.293149685451154E+07,  1.471622765778197E+08,  2.325452958608419E+04,
2424897.000000000, A.D. 1927-Jan-16 12:00:00.0000, -6.581893409266296E+07,  1.323378543644888E+08,  1.999400298433006E+04,
2424928.000000000, A.D. 1927-Feb-16 12:00:00.0000, -1.255488068460838E+08,  7.914231976969524E+07,  1.058120095990971E+04,
2424956.000000000, A.D. 1927-Mar-16 12:00:00.0000, -1.488744259417376E+08,  1.102218787009553E+07, -6.311964489817619E+02,
2424987.000000000, A.D. 1927-Apr-16 12:00:00.0000, -1.347748378307855E+08, -6.662176390414514E+07, -1.289384872239828E+04,
2425017.000000000, A.D. 1927-May-16 12:00:00.0000, -8.581277518596710E+07, -1.244767915923071E+08, -2.125544052018970E+04,
2425048.000000000, A.D. 1927-Jun-16 12:00:00.0000, -1.274798133396461E+07, -1.511032666755088E+08, -2.392092552079260E+04,
2425078.000000000, A.D. 1927-Jul-16 12:00:00.0000,  6.130620918236163E+07, -1.385856582098906E+08, -2.022783417826146E+04,
